    + --- ---------------- --------- +
    |                plain recursion |
--- + --- ---------------- --------- +
  n | sol            count  cpu time |
--- + --- ---------------- --------- +
  1 |   2                3 5.000e-07 |
  2 |   3                4 4.000e-07 |
  3 |   4                5 5.000e-07 |
  4 |   4                6 5.000e-07 |
  5 |   5                7 7.000e-07 |
  6 |   5                8 3.000e-07 |
  7 |   6                9 3.000e-07 |
  8 |   6               10 3.000e-07 |
  9 |   6               10 4.000e-07 |
 10 |   7               11 4.000e-07 |
 11 |   7               12 8.000e-07 |
 12 |   7               12 5.000e-07 |
 13 |   8               13 4.000e-07 |
 14 |   8               14 2.000e-07 |
 15 |   8               14 2.000e-07 |
 16 |   8               14 4.000e-07 |
 17 |   9               15 3.000e-07 |
 18 |   9               16 2.000e-07 |
 19 |   9               16 3.000e-07 |
 20 |   9               16 3.000e-07 |
 21 |  10               17 7.000e-07 |
 22 |  10               18 4.000e-07 |
 23 |  10               18 3.000e-07 |
 24 |  10               18 3.000e-07 |
 25 |  10               18 3.000e-07 |
 26 |  11               19 3.000e-07 |
 27 |  11               20 2.000e-07 |
 28 |  11               20 3.000e-07 |
 29 |  11               20 5.000e-07 |
 30 |  11               20 3.000e-07 |
 31 |  12               21 3.000e-07 |
 32 |  12               22 3.000e-07 |
 33 |  12               22 2.000e-07 |
 34 |  13               23 3.000e-07 |
 35 |  13               24 3.000e-07 |
 36 |  13               24 3.000e-07 |
 37 |  14               25 3.000e-07 |
 38 |  14               26 2.000e-07 |
 39 |  14               26 3.000e-07 |
 40 |  15               27 3.000e-07 |
 41 |  15               28 3.000e-07 |
 42 |  15               28 3.000e-07 |
 43 |  15               28 4.000e-07 |
 44 |  16               29 4.000e-07 |
 45 |  16               30 3.000e-07 |
 46 |  16               30 4.000e-07 |
 47 |  16               30 3.000e-07 |
 48 |  17               31 3.000e-07 |
 49 |  17               32 4.000e-07 |
 50 |  17               32 4.000e-07 |
 55 |  19               36 1.500e-06 |
 60 |  22               41 9.000e-07 |
 65 |  24               45 5.000e-07 |
 70 |  25               48 5.000e-07 |
 75 |  26               50 6.000e-07 |
 80 |  27               52 6.000e-07 |
 85 |  28               54 5.000e-07 |
 90 |  29               56 6.000e-07 |
 95 |  31               60 7.000e-07 |
100 |  34               66 8.000e-07 |
110 |  38               75 1.700e-06 |
120 |  41               81 1.100e-06 |
130 |  43               85 9.000e-07 |
140 |  45               89 1.000e-06 |
150 |  47               93 9.000e-07 |
160 |  50               99 1.000e-06 |
170 |  55              109 1.100e-06 |
180 |  59              117 1.100e-06 |
190 |  61              121 1.200e-06 |
200 |  63              125 1.200e-06 |
220 |  70              140 2.600e-06 |
240 |  78              156 2.200e-06 |
260 |  82              164 1.800e-06 |
280 |  89              177 2.000e-06 |
300 |  96              192 2.000e-06 |
320 | 100              200 1.900e-06 |
340 | 109              219 2.100e-06 |
360 | 114              229 8.000e-06 |
380 | 118              237 2.500e-06 |
400 | 128              258 2.700e-06 |
420 | 133              269 4.100e-06 |
440 | 138              279 3.700e-06 |
460 | 146              295 3.200e-06 |
480 | 151              305 3.000e-06 |
500 | 158              318 7.500e-06 |
520 | 166              335 3.300e-06 |
540 | 170              343 3.300e-06 |
560 | 177              363 3.600e-06 |
580 | 184              377 3.700e-06 |
600 | 188              385 3.700e-06 |
620 | 195              399 6.700e-06 |
640 | 202              414 4.100e-06 |
660 | 207              425 4.000e-06 |
680 | 213              439 4.500e-06 |
700 | 221              455 4.800e-06 |
720 | 225              463 4.600e-06 |
740 | 234              483 4.800e-06 |
760 | 239              493 7.200e-06 |
780 | 243              500 7.000e-06 |
800 | 252              519 5.800e-06 |
--- + --- ---------------- --------- +
