    + --- ---------------- --------- +
    |                plain recursion |
--- + --- ---------------- --------- +
  n | sol            count  cpu time |
--- + --- ---------------- --------- +
  1 |   2               10 5.000e-07 |
  2 |   3               13 4.000e-07 |
  3 |   4               16 2.000e-07 |
  4 |   4               19 2.000e-07 |
  5 |   5               22 2.000e-07 |
  6 |   5               25 2.000e-07 |
  7 |   6               28 2.000e-07 |
  8 |   6               31 1.000e-07 |
  9 |   6               31 2.000e-07 |
 10 |   7               34 3.000e-07 |
 11 |   7               37 7.000e-07 |
 12 |   7               37 3.000e-07 |
 13 |   8               40 2.000e-07 |
 14 |   8               43 3.000e-07 |
 15 |   8               43 2.000e-07 |
 16 |   8               43 2.000e-07 |
 17 |   9               46 2.000e-07 |
 18 |   9               49 2.000e-07 |
 19 |   9               49 2.000e-07 |
 20 |   9               49 2.000e-07 |
 21 |  10               52 7.000e-07 |
 22 |  10               55 3.000e-07 |
 23 |  10               55 3.000e-07 |
 24 |  10               55 3.000e-07 |
 25 |  10               55 4.000e-07 |
 26 |  11               58 2.000e-07 |
 27 |  11               61 3.000e-07 |
 28 |  11               61 4.000e-07 |
 29 |  11               61 4.000e-07 |
 30 |  11               61 3.000e-07 |
 31 |  12               64 3.000e-07 |
 32 |  12               67 2.000e-07 |
 33 |  12               67 2.000e-07 |
 34 |  13               70 3.000e-07 |
 35 |  13               73 2.000e-07 |
 36 |  13               73 3.000e-07 |
 37 |  14               76 3.000e-07 |
 38 |  14               79 3.000e-07 |
 39 |  14               79 3.000e-07 |
 40 |  15               82 3.000e-07 |
 41 |  15               85 3.000e-07 |
 42 |  15               85 3.000e-07 |
 43 |  15               85 4.000e-07 |
 44 |  16               88 4.000e-07 |
 45 |  16               91 4.000e-07 |
 46 |  16               91 4.000e-07 |
 47 |  16               91 4.000e-07 |
 48 |  17               94 4.000e-07 |
 49 |  17               97 3.000e-07 |
 50 |  17               97 3.000e-07 |
 55 |  19              109 1.100e-06 |
 60 |  22              124 9.000e-07 |
 65 |  24              139 7.000e-07 |
 70 |  26              148 5.000e-07 |
 75 |  27              157 5.000e-07 |
 80 |  28              163 5.000e-07 |
 85 |  29              169 6.000e-07 |
 90 |  30              175 6.000e-07 |
 95 |  32              196 7.000e-07 |
100 |  35              214 7.000e-07 |
110 |  39              241 2.300e-06 |
120 |  42              256 1.200e-06 |
130 |  44              271 1.000e-06 |
140 |  46              283 1.000e-06 |
150 |  48              295 1.000e-06 |
160 |  52              328 1.500e-06 |
170 |  57              358 1.300e-06 |
180 |  60              379 1.200e-06 |
190 |  62              391 1.200e-06 |
200 |  64              403 1.300e-06 |
220 |  71              442 2.700e-06 |
240 |  78              487 2.300e-06 |
260 |  82              511 1.800e-06 |
280 |  89              556 2.000e-06 |
300 |  97              604 2.000e-06 |
320 | 101              628 1.900e-06 |
340 | 110              685 2.200e-06 |
360 | 115              715 8.300e-06 |
380 | 119              739 2.400e-06 |
400 | 129              808 2.700e-06 |
420 | 134              841 4.800e-06 |
440 | 139              871 3.800e-06 |
460 | 147              919 3.200e-06 |
480 | 153              952 3.100e-06 |
500 | 159              997 8.000e-06 |
520 | 167             1045 3.700e-06 |
540 | 171             1069 3.500e-06 |
560 | 179             1123 3.800e-06 |
580 | 186             1168 3.800e-06 |
600 | 190             1192 3.900e-06 |
620 | 197             1234 7.000e-06 |
640 | 204             1279 4.100e-06 |
660 | 208             1303 4.300e-06 |
680 | 215             1348 4.800e-06 |
700 | 223             1396 4.600e-06 |
720 | 228             1429 4.700e-06 |
740 | 237             1495 7.900e-06 |
760 | 242             1522 5.100e-06 |
780 | 245             1543 9.800e-06 |
800 | 255             1609 5.600e-06 |
--- + --- ---------------- --------- +
