    + --- ---------------- --------- +
    |                plain recursion |
--- + --- ---------------- --------- +
  n | sol            count  cpu time |
--- + --- ---------------- --------- +
  1 |   1                2 5.000e-07 |
  2 |   2                3 4.000e-07 |
  3 |   3                5 3.000e-07 |
  4 |   3                8 3.000e-07 |
  5 |   4               13 3.000e-07 |
  6 |   4               22 5.000e-07 |
  7 |   5               36 5.000e-07 |
  8 |   5               60 7.000e-07 |
  9 |   5              100 1.000e-06 |
 10 |   6              167 1.500e-06 |
 11 |   6              279 3.200e-06 |
 12 |   6              465 3.300e-06 |
 13 |   7              777 5.100e-06 |
 14 |   7             1297 7.700e-06 |
 15 |   7             2165 1.260e-05 |
 16 |   7             3614 2.070e-05 |
 17 |   8             6031 3.680e-05 |
 18 |   8            10065 6.130e-05 |
 19 |   8            16795 9.400e-05 |
 20 |   8            28024 1.613e-04 |
 21 |   9            46737 2.034e-04 |
 22 |   9            77953 3.563e-04 |
 23 |   9           130031 5.768e-04 |
 24 |   9           216910 1.048e-03 |
 25 |   9           359648 1.601e-03 |
 26 |  10           597765 2.645e-03 |
 27 |  10           994988 4.708e-03 |
 28 |  10          1655440 7.145e-03 |
 29 |  10          2757201 1.235e-02 |
 30 |  10          4592954 2.131e-02 |
 31 |  11          7650959 3.896e-02 |
 32 |  11         12747909 6.426e-02 |
 33 |  11         21239633 1.040e-01 |
 34 |  12         35390107 1.743e-01 |
 35 |  12         58969489 2.759e-01 |
 36 |  12         98258366 4.608e-01 |
 37 |  13        164571417 7.943e-01 |
 38 |  13        275067103 1.334e+00 |
 39 |  13        459186748 2.184e+00 |
 40 |  14        766828953 3.559e+00 |
 41 |  14       1280295817 5.778e+00 |
 42 |  14       2136731674 9.837e+00 |
 43 |  14       3566901909 2.054e+01 |
 44 |  15       1656061797 4.578e+01 |
 45 |  15       1279954617 5.273e+01 |
 46 |  15       3521734721 1.002e+02 |
 47 |  15       1541683125 1.316e+02 |
 48 |  16        683735163 2.143e+02 |
 49 |  16       2140702901 3.485e+02 |
 50 |  16       2739722677 7.022e+02 |
 55 |  18       4189720009 8.345e+03 |
 60 |                                |
 65 |                                |
 70 |                                |
 75 |                                |
 80 |                                |
 85 |                                |
 90 |                                |
 95 |                                |
100 |                                |
110 |                                |
120 |                                |
130 |                                |
140 |                                |
150 |                                |
160 |                                |
170 |                                |
180 |                                |
190 |                                |
200 |                                |
220 |                                |
240 |                                |
260 |                                |
280 |                                |
300 |                                |
320 |                                |
340 |                                |
360 |                                |
380 |                                |
400 |                                |
420 |                                |
440 |                                |
460 |                                |
480 |                                |
500 |                                |
520 |                                |
540 |                                |
560 |                                |
580 |                                |
600 |                                |
620 |                                |
640 |                                |
660 |                                |
680 |                                |
700 |                                |
720 |                                |
740 |                                |
760 |                                |
780 |                                |
800 |                                |
--- + --- ---------------- --------- +
